listing_id,url,category,scraped_at,price_azn,currency,price_per_m2,rooms,area_m2,floor,total_floors,building_type,repair_status,district,metro_station,city,address,latitude,longitude,posted_date,description,agent_name,error
1993932,https://homdom.az/offer/1993932,kiraye,2026-02-27T16:18:19,849.0,AZN,12.13,2,70.0,12,14,yeni tikili,,Binəqədi,Azadlıq Prospekti m.,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 70 m², Azadlıq Prospekti m.",,,20 saat əvvəl,"Azadlıq meteosuna 6, 7 dəqiqəlik məsafədə yeni təmirdən çxmış 2 otaq mənzil kirayə verilir.. Qida təhlükəsizliyinin yanı... Su , qaz, işıq daimidir istilik kombi . Mənzildə yaşamaq üçün hər bir şərait var . Depozit var. Ətraflı məlumat üçün zəng edin.",Qüdrət bəy,
1985120,https://homdom.az/offer/1985120,kiraye,2026-02-27T16:18:20,560.0,AZN,8.0,2,70.0,18,21,yeni tikili,,Yasamal,Yeni Yasamal,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 70 m², Yeni Yasamal",,,1 həftə əvvəl,"Yeni Yasamal, yeni tikili binada qanuni iki otagli menzil kiraye verilir.Ev tam esyalidir. Xahis edire, ancaq uzun muddetli isdiyenler elaqe saxlasin.",Azad M.,
1986812,https://homdom.az/offer/1986812,kiraye,2026-02-27T16:18:21,1050.0,AZN,8.75,3,120.0,,,,,Nəsimi,28 May m.,Baku,"120 m2 ofis icarəyə verilir, 28 May m.",,,1 həftə əvvəl,"Bilirsiniz ki bu ərazidə 3 otaqlı mənzil bu qiymətə təsadüf olur.28 May m\st-nın yaxınlığında ADU,ASU-nun yanında yeni tikili binada ümumi sahəsi 120 kv.m olan 3 otaqlı,yeni təmirdən çıxmış mənzil OFİS VƏ YA NƏNZİL kimi kirayə verilir.Bina yeni təhvil verildiyi üçün hal-hazırda qaz yoxdur.Ətraflı məlumat üçün əlaqə saxlaya bilərsiniz.Vasitəçinin xidmət haqqı 30 faiz təşkil edir.",JET,
1985436,https://homdom.az/offer/1985436,kiraye,2026-02-27T16:18:22,1100.0,AZN,9.65,2,114.0,2,17,yeni tikili,,Yasamal,Elmlər Akademiyası m.,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 114 m², Elmlər Akademiyası m.",,,1 həftə əvvəl,"Yasamal rayonu, Azərbaycan Dövlət Pedaqoji Kollecin yaxınlığında 2 otaqlı, sahəsi 114 kv.m, mənzil kirayə verilir. Qaz, su, işıq daimi. Firmanın xidmət haqqı 30% təşkil edir. Əlavə məlumat üçün zəng edin!",Vüsal m.,
1994030,https://homdom.az/offer/1994030,kiraye,2026-02-27T16:18:22,1700.0,AZN,22.67,2,75.0,10,16,yeni tikili,,Nərimanov,28 May m.,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 75 m², 28 May m.",,,20 saat əvvəl,"Nərimanov rayonu — Gənclik, 28 May və Nərimanov metrolarına yaxın ADA Universitetinin yanında 2 otaqlı Lux mənzil kirayə verilir",Ibrahim,
1986807,https://homdom.az/offer/1986807,kiraye,2026-02-27T16:18:23,750.0,AZN,13.64,2,55.0,2,12,yeni tikili,,Nərimanov,Gənclik m.,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 55 m², Gənclik m.",,,1 həftə əvvəl,🏠 ƏLVERİŞLİ ƏRAZİDƏ | Yeni təmirdən çıxmış 2 otaqlı mənzil,Xəlil bəy,
1983960,https://homdom.az/offer/1983960,kiraye,2026-02-27T16:18:24,1900.0,AZN,8.64,4,220.0,,,,,Nərimanov,Nərimanov,Baku,"220 m2 ofis icarəyə verilir, Nərimanov",,,1 həftə əvvəl,"N.Nerimanov m st nin yaxinligi Ehmed Recebli kucesinde yeni tikili 4 mertebeli qeyri yasayis binasinin 4 cu mertebesinde temirli esyali 220 kv 4 otaqli ofis icariye verilir.Ofisin suyu isigi istilik sistemi kondisoneri ve binanin suretli lifti movcutdur,ofis cox elverisli erazide yerlesir",Arzu bəy,
1993960,https://homdom.az/offer/1993960,kiraye,2026-02-27T16:18:24,1800.0,AZN,12.0,3,150.0,10,12,yeni tikili,,Nəsimi,Kubinka,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 150 m², Kubinka",,,20 saat əvvəl,"🇦🇿 VIP ELAN 3 otaq | 150 m² | 12/10 | Yeni tikili 📍 Türkiyə Respublikasının Azərbaycandakı Səfirliyi yanında Yeni təmirdən çıxmış, geniş və işıqlı mənzil kirayə verilir. Prestijli bina və elit ərazi. Uzunmüddətli yaşayış üçün ideal seçim. 💰 Ofis xidmət haqqı: 30% 🇷🇺 VIP ОБЪЯВЛЕНИЕ 3 комнаты | 150 м² | 12/10 | Новостройка 📍 Рядом с Türkiyə Respublikasının Azərbaycandakı Səfirliyi Квартира после нового ремонта, просторная и светлая. Престижный дом, отличный вариант для долгосрочной аренды. 💰 Комиссия агентства: 30% 🇬🇧 VIP LISTING 3 Rooms | 150 m² | 12/10 | New Building 📍 Near the Türkiyə Respublikasının Azərbaycandakı Səfirliyi Newly renovated, spacious and bright apartment. Prestigious location, ideal for long-term living. 💰 Agency fee: 30%",Arif m.,
1979789,https://homdom.az/offer/1979789,kiraye,2026-02-27T16:18:25,800.0,AZN,9.09,2,88.0,13,17,yeni tikili,,Nəsimi,28 May m.,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 88 m², 28 May m.",,,2 həftə əvvəl,"🏢 Kirayə mənzil 📍 Ünvan: Nəsimi rayonu, 28 May metrosu, Dəmir Yol Vağzalının üstü 🏗 Bina: Yeni Ailə MTK 🏢 Mərtəbə: 13/17 🏠 Otaq sayı: 2 otaqlı 📐 Sahə: 88 kv.m ❄ İstilik: Kondisioner (binaya hələ qaz verilməyib) 🚿 İsti su: Ariston 💰 Kirayə haqqı: 800 AZN 🏢 Komendant pulu: Yoxdur 📉 Qış ayları üçün qiymətdə endirim var 💼 Ofis haqqı: 30%",Nübar xanım,
1993174,https://homdom.az/offer/1993174,kiraye,2026-02-27T16:18:26,250.0,AZN,6.76,1,37.0,1,1,köhnə tikili,,Sabunçu,Sabunçu,Baku,"Kirayə verilir 1 otaqlı köhnə tikili, 37 m², Sabunçu",,,1 gün əvvəl,"Xahiş edirəm diqqətlə sonacan oxuyaq. Sahibi tərəfinən yenicə təmirdən çıxmış Mərkəzi trasa piyada yaxın ərazi Zabrat 1 Köhnə Rahid şadlıq sarayı(indiki Araz market) və 192məktəbə yaxın ərazidə..koroğlu metrosuna10-15dəqiqəlik məsafədə. Bütün şəraiti yüksək səviyədə olan ADELNİ 1OTAQLI mənzil Sahibi tərəfinən icarəyə verilir. Mənzil 1nəfər qalan iş adamlarna verilir.(tək;subay;,tələbə belə adamlara verilir!) kreslo oturacaqlar; paltaryuyan; soyuducu,internet,yataq dəsti,paltar dolabları,mərkəzi istilik kombi və isti su və sair hər bir şəraiti olan mənzildir. Ünvan: Zabrat 1 Nizami Gəncəvi 9küçəsi. Rahat market (Baku electronicsə yaxınlığı)Evdən mərkəzi yola 5-6dəqiqəlik piyada yolu var.Mərkəzi yoldan 9-10dəqiqəyə Koroğlu metrosuna avtobuslar gedir. elan arendiya verildikdən sonra silinəcək. Xahiş edirəm anormal həyat yaşıyan adamlar yığmasın nədə gəlməsin.yol kameralarla nəzarət olunur. 1otaq 250azn komunal daxil.. İsti soyuq su İtalya boyler sistemi;kombi ataplenisi daimi qiymətə daxil. 1adamdan çox 2adamlı qalmaq istiyənlər yığmasın.",Uğur,
